Seq	Host	Starttime	Runtime	Send	Receive	Exitval	Signal	Command
10	:	1480884780.651	11420.065	0	0	0	0	rsbatch -A subject=empro15_012 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
6	:	1480884780.603	11427.621	0	0	0	0	rsbatch -A subject=empro15_007 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
8	:	1480884780.627	11435.602	0	0	0	0	rsbatch -A subject=empro15_010 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
13	:	1480884780.687	11451.928	0	0	0	0	rsbatch -A subject=empro15_015 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
4	:	1480884780.583	11468.945	0	0	0	0	rsbatch -A subject=empro15_005 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
11	:	1480884780.663	11477.996	0	0	0	0	rsbatch -A subject=empro15_013 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
7	:	1480884780.615	11485.936	0	0	0	0	rsbatch -A subject=empro15_009 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
12	:	1480884780.675	11487.857	0	0	0	0	rsbatch -A subject=empro15_014 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
9	:	1480884780.639	11494.406	0	0	0	0	rsbatch -A subject=empro15_011 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
1	:	1480884780.548	11512.583	0	0	0	0	rsbatch -A subject=empro15_001 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
15	:	1480884780.711	11515.783	0	0	0	0	rsbatch -A subject=empro15_018 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
2	:	1480884780.559	11538.249	0	0	0	0	rsbatch -A subject=empro15_002 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
14	:	1480884780.699	11542.780	0	0	0	0	rsbatch -A subject=empro15_016 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
3	:	1480884780.571	11549.037	0	0	0	0	rsbatch -A subject=empro15_003 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
5	:	1480884780.595	11550.911	0	0	0	0	rsbatch -A subject=empro15_006 -A measurementnumber=m2 -A TR=0.7 -A run=run3 -j /net/mri.meduniwien.ac.at/projects/physics/fmri/data/empro15/analysis/edt/jobs/j0_preprocessing/noDC/7t_task_multiband.job --threads=10 -s 1-7,9-14
